tid,name,usage_count,follower_count,canonical_term,match_type,confidence,final_disposition,canonical_tid
10000,people with disabilities,22,145,Disability Rights,keyword_match,medium,merge_to_canonical,75029.0
10001,Discrimination,24,193,Civil Rights,keyword_match,medium,merge_to_canonical,6831.0
10002,computer crimes,2,5,,,,delete,
10003,Speedy Trial Reform,7,33,,,,delete,
10004,School Funding,55,331,Education,keyword_match,medium,merge_to_canonical,7001.0
10005,Progressive Budget,3,20,Budget,keyword_match,medium,merge_to_canonical,6786.0
10006,Youthbuild,21,28,,,,delete,
10007,Youth Leadership Development,14,36,Children,keyword_match,medium,merge_to_canonical,6816.0
10008,OVERCROWDING,1,4,,,,delete,
10009,Budget Resolution,6,29,Budget,keyword_match,medium,merge_to_canonical,6786.0
10010,Senate Democratic Conference,106,85,,,,delete,
10011,direct service professionals,10,23,,,,delete,
10012,My Brother's Keeper Initiative,1,1,,,,delete,
10013,MTA Funding,14,66,MTA,keyword_match,medium,merge_to_canonical,9222.0
10015,Community Health Centers,4,38,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10016,FQHCs,2,1,,,,delete,
10017,Federal Budget,8,14,Budget,keyword_match,medium,merge_to_canonical,6786.0
10018,America First,1,36,,,,delete,
10019,Criminal Activity,2,29,,,,delete,
100198,Senator Gianaris' 2023 Community Survey,1,3,,,,delete,
10020,General Government,15,88,,,,delete,
10021,Local Assistance,39,110,,,,delete,
10022,Budget Conference,10,21,Budget,keyword_match,medium,merge_to_canonical,6786.0
10023,Nurse Practitioners,5,30,,,,delete,
10024,Nursing,5,39,,,,delete,
10025,Primary Health Care,1,23,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10026,Minority Whip,1,1,,,,delete,
10027,Codes Committee,6,20,,,,delete,
10028,Telehealth,15,75,,,,delete,
10030,child safety zones,4,19,Public Safety,keyword_match,medium,merge_to_canonical,8316.0
10031,David Ohnmacht,2,2,,,,delete,
10032,national register of historic places,2,6,,,,delete,
10033,state register of historic places,3,6,,,,delete,
10034,pleasantville,4,1,,,,delete,
10035,Mohawk Valley,2,1,,,,delete,
10036,Thomas K. Burniston,1,0,,,,delete,
10037,Economic Empowerment,8,24,,,,delete,
10039,Workers' Comp Reform,5,29,,,,delete,
10040,Enviornment,28,95,,,,delete,
10041,2017 Veterans Hall of Fame,0,33,Veterans,keyword_match,medium,merge_to_canonical,7691.0
100426,school food,1,9,Education,keyword_match,medium,merge_to_canonical,7001.0
10044,croton,2,3,,,,delete,
100448,Legalizing basements & Cellars,3,15,,,,delete,
10045,Underhill-Acker House,1,1,,,,delete,
10047,Community Colleges,4,43,Higher Education,keyword_match,medium,merge_to_canonical,7176.0
10048,Real Property Taxes,20,200,Taxes,keyword_match,medium,merge_to_canonical,7626.0
10049,Senator Addabbo,4,1,,,,delete,
10050,Prostate,1,2,,,,delete,
10051,Queens,252,271,,,,delete,
10052,Waste Management,5,27,,,,delete,
100527,Unemployment bridge program,1,6,Jobs & Employment,keyword_match,medium,merge_to_canonical,7261.0
100528,DATA Tax,1,3,Taxes,keyword_match,medium,merge_to_canonical,7626.0
10053,Addabbo,787,79,,,,delete,
10054,Fishing,12,69,,,,delete,
10055,Donor Milk,2,6,,,,delete,
10056,public health and safety,38,292,Health Care,keyword_match,medium,merge_to_canonical,7166.0
100561,limousines safety,1,1,,,,delete,
10057,Marijuana,26,741,Cannabis Policy,keyword_match,medium,merge_to_canonical,
10058,Reproductive Health Act,1,285,Health Care,keyword_match,medium,merge_to_canonical,7166.0
100582,23-24 Executive Budget Proposal,6,32,Budget,keyword_match,medium,merge_to_canonical,6786.0
100586,2023-24 New York state budget,11,72,Budget,keyword_match,medium,merge_to_canonical,6786.0
100587,Taxes and Spending,2,16,Taxes,keyword_match,medium,merge_to_canonical,7626.0
10059,Fossil Fuel Divestment Act,1,64,Climate Change,keyword_match,medium,merge_to_canonical,6841.0
10060,empire bridge program,1,1,,,,delete,
10061,Marijuana Regulation and Taxation Act,1,443,Taxes,keyword_match,medium,merge_to_canonical,7626.0
10062,Major Capital Improvements,11,48,,,,delete,
10063,MCIs,13,11,,,,delete,
10064,Preferential Rents,1,21,,,,delete,
10065,state gaming law,1,9,Gaming,keyword_match,medium,merge_to_canonical,7111.0
10066,Access to Healthcare,66,1254,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10067,Women's Reproductive Health,0,216,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10068,Homelessness,43,293,Homelessness,keyword_match,medium,already_canonical,10068.0
10069,Neighborhood Preservation Companies,2,9,,,,delete,
10070,Anti-Gang Bill,11,42,,,,delete,
10071,Abandoned Homes,5,83,,,,delete,
10072,Preservation,2,11,,,,delete,
10073,Landmarking,1,1,,,,delete,
10074,dutchess county,1,8,,,,delete,
10075,new york state council on the arts,4,20,Arts & Culture,keyword_match,medium,merge_to_canonical,80871.0
10076,Vietnam War veterans,23,48,Veterans,keyword_match,medium,merge_to_canonical,7691.0
10077,victim safety zones,2,5,,,,delete,
10078,Judith Clark parole,3,11,Criminal Justice Reform,keyword_match,medium,merge_to_canonical,8546.0
10079,Women's Equality,6,88,Women's Rights,keyword_match,medium,merge_to_canonical,9128.0
10080,Climate Justice,7,114,Climate Change,keyword_match,medium,merge_to_canonical,6841.0
10081,DNA,4,12,,,,delete,
10082,Forensic,1,7,,,,delete,
10083,electronic cigarettes,5,33,,,,delete,
10084,Albany Update,1,37,,,,delete,
10085,Community Shout Outs,9,14,,,,delete,
10086,fair wages,10,58,,,,delete,
10087,Senator Boyle,1,2,,,,delete,
10088,New York State Senator,7,45,,,,delete,
10089,Machete,1,0,,,,delete,
10090,Diesel Emissions Reduction Act,1,14,,,,delete,
10091,Clean Air,7,85,Environment,keyword_match,medium,merge_to_canonical,7036.0
10092,parks and trails,2,56,State Parks & Recreation,keyword_match,medium,merge_to_canonical,
10093,interoperable communications,1,3,,,,delete,
10094,Extraordinary Session,4,6,,,,delete,
10095,Autism,20,105,Developmental Disabilities,keyword_match,medium,merge_to_canonical,6956.0
10096,albany dysfunction,3,51,,,,delete,
10097,Budget Extender Bill,6,7,Budget,keyword_match,medium,merge_to_canonical,6786.0
10098,Privacy,30,157,Data Privacy,keyword_match,medium,merge_to_canonical,75986.0
10099,navigation,1,1,,,,delete,
10100,boat safety,13,7,,,,delete,
10102,Stroke,1,2,,,,delete,
10103,School Suspensions,4,16,Education,keyword_match,medium,merge_to_canonical,7001.0
10104,School to Prison Pipeline,3,44,Education,keyword_match,medium,merge_to_canonical,7001.0
10105,Electric Generation Cessation Mitigation Fund,3,3,,,,delete,
10106,End School Suspensions,3,16,Education,keyword_match,medium,merge_to_canonical,7001.0
10107,End Mass Incarceration,32,203,Criminal Justice Reform,keyword_match,medium,merge_to_canonical,8546.0
10108,Budget Negotiations,3,20,Budget,keyword_match,medium,merge_to_canonical,6786.0
10109,Budget Agreement,3,19,Budget,keyword_match,medium,merge_to_canonical,6786.0
10110,NYS Senator Persaud,93,72,,,,delete,
10111,Senate Democratic Conference Leader,6,10,,,,delete,
101111,Traffic violence,2,3,,,,delete,
101112,Tamara Kao,1,1,,,,delete,
10112,Senator Stewart-Cousins,2,6,,,,delete,
10113,Penn Station,19,42,,,,delete,
10114,Amtrak,18,48,,,,delete,
10115,Neighborhood Preservation Program,4,12,,,,delete,
10116,Workers' Comp Reform; Child and Dependent Care Tax Credit,0,6,,,,delete,
10117,Child and Dependent Care Tax Credit,4,27,Taxes,keyword_match,medium,merge_to_canonical,7626.0
10118,ms4,1,0,,,,delete,
10119,Keeping Your Word,1,0,,,,delete,
10120,Immigrant Defense Fund,1,12,Immigration,keyword_match,medium,merge_to_canonical,7221.0
10121,Foundation Aid,51,76,,,,delete,
10122,North Rockland Central School District,7,4,Education,keyword_match,medium,merge_to_canonical,7001.0
101228,2023-2024 State Budget,23,79,Budget,keyword_match,medium,merge_to_canonical,6786.0
101229,NYS Senate Dtstrict 47,0,3,,,,delete,
10123,Budget Bill,1,17,Budget,keyword_match,medium,merge_to_canonical,6786.0
101230,Senator Brad Hoylman-Sial,0,1,,,,delete,
101231,2023-24 state budget,8,56,Budget,keyword_match,medium,merge_to_canonical,6786.0
101232,DOE,1,4,,,,delete,
101233,Charter School,2,4,Education,keyword_match,medium,merge_to_canonical,7001.0
10124,farm,1,11,,,,delete,
10125,Passing of State Court of Appeals Judge Abdus Salaam,1,1,,,,delete,
10126,New York State Court of Appeals,18,54,,,,delete,
101270,Oswego County,36,1,,,,delete,
101279,Nomination Lobbying Disclosure Act,2,2,,,,delete,
10128,Senate Interns Model Legislative Session,22,9,,,,delete,
10129,make the national fight local,2,6,,,,delete,
101292,Education Students,3,9,Education,keyword_match,medium,merge_to_canonical,7001.0
10130,Power Generation Mitigation Fund,1,4,,,,delete,
10131,Constitutional Convention,6,59,,,,delete,
10132,Convención Constitucional,1,2,,,,delete,
10133,gondola,1,3,,,,delete,
10134,Women in Business,10,30,,,,delete,
101349,Office of Court Administration,8,9,,,,delete,
10135,End Broken Windows,3,7,,,,delete,
101350,Court Reform,1,7,,,,delete,
10136,Downtown Little League,1,0,,,,delete,
10137,Employment Bulletin Workforce Development,1,11,Jobs & Employment,keyword_match,medium,merge_to_canonical,7261.0
10138,evan's law,1,4,,,,delete,
10139,textalyzer,5,10,,,,delete,
101396,Fix the MTA,11,36,MTA,keyword_match,medium,merge_to_canonical,9222.0
101397,Fix the Subways,1,1,Transportation,keyword_match,medium,merge_to_canonical,7656.0
10140,Health Committee,3,43,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10141,Fairness,3,77,,,,delete,
10142,Equality,10,88,,,,delete,
10143,Transgender Community,11,104,LGBTQ+ Rights,keyword_match,medium,merge_to_canonical,
10144,community safety,38,154,,,,delete,
101447,Smithtown High School East,2,2,Education,keyword_match,medium,merge_to_canonical,7001.0
101448,Student,1,5,Education,keyword_match,medium,merge_to_canonical,7001.0
10145,local roads and bridges,54,203,Transportation,keyword_match,medium,merge_to_canonical,7656.0
101457,BAC,1,0,,,,delete,
101458,Drunk Drive,0,1,,,,delete,
10146,Greek Independence,11,4,,,,delete,
10147,Hon. Ingeniero Miguel Vargas Maldonado,1,0,,,,delete,
10148,Ministro de Relaciones Exteriores de la República Dominicana,3,4,,,,delete,
10149,Sewage Spill,1,3,,,,delete,
10150,National Grid,17,62,Utilities,keyword_match,medium,merge_to_canonical,7686.0
10151,Medical Marijuana Program,2,126,Cannabis Policy,keyword_match,medium,merge_to_canonical,
10152,Monroe County,10,26,,,,delete,
10153,Boss Bill,3,8,,,,delete,
10154,Natural Gas,23,118,Energy,keyword_match,medium,merge_to_canonical,7026.0
10155,southeast,2,1,,,,delete,
10156,prospect hill road bridge,1,1,,,,delete,
10157,Erie Canal bridges,1,6,,,,delete,
10158,correctional officers,15,40,Criminal Justice Reform,keyword_match,medium,merge_to_canonical,8546.0
10159,Social Media,56,122,Technology Policy,keyword_match,medium,merge_to_canonical,
10160,Military Appreciation,59,146,Veterans,keyword_match,medium,merge_to_canonical,7691.0
10161,Beaches,6,24,,,,delete,
10162,Stamp Out Hunger,12,74,Nutrition,keyword_match,medium,merge_to_canonical,7411.0
10163,Brentwood,16,4,,,,delete,
10164,Happy Meals Bill,1,3,,,,delete,
10165,kendra's law,11,32,,,,delete,
10166,Allergy Testing,2,15,,,,delete,
10167,United States military,9,49,Veterans,keyword_match,medium,merge_to_canonical,7691.0
101679,Create a Safer New York,1,11,,,,delete,
10168,State of Emergency,18,77,Emergency Management,keyword_match,medium,merge_to_canonical,71055.0
101680,Create a Safer New York,0,0,,,,delete,
10169,American Health Care Act,1,84,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10170,Affordable Care Care Repeal,2,54,,,,delete,
10171,Women's Empowerment,46,249,Women's Rights,keyword_match,medium,merge_to_canonical,9128.0
101714,Commission on Judicial Conduct,1,5,Judiciary,keyword_match,medium,merge_to_canonical,7271.0
10172,Performing Arts,9,39,Arts & Culture,keyword_match,medium,merge_to_canonical,80871.0
10173,high school athletics,25,34,Education,keyword_match,medium,merge_to_canonical,7001.0
10174,product safety,1,4,,,,delete,
10175,pay equity,3,23,,,,delete,
10176,salary history,2,10,,,,delete,
10177,Ossining,7,2,,,,delete,
10179,roads,8,22,Transportation,keyword_match,medium,merge_to_canonical,7656.0
10180,potholes,3,6,,,,delete,
101808,NYS Senate District 47,1,5,,,,delete,
101809,Senator Brad Hoylman-Sigal,1,2,,,,delete,
10181,developmentally disabled,6,39,,,,delete,
10182,direct service providers,3,9,,,,delete,
10183,State Champions,6,5,,,,delete,
101837,UPS,1,1,,,,delete,
101838,T.E.M.P.,1,0,,,,delete,
101839,Extreme Heat,6,4,,,,delete,
10184,NYS Dept of Transportation,4,23,Transportation,keyword_match,medium,merge_to_canonical,7656.0
10185,hawthorne cedar knolls,5,1,,,,delete,
10186,mt. pleasant,4,2,,,,delete,
10187,special act schools,4,8,Education,keyword_match,medium,merge_to_canonical,7001.0
10188,ocfs,2,3,,,,delete,
10189,gang violence,11,36,,,,delete,
10190,Juvenile Justice,13,41,Criminal Justice Reform,keyword_match,medium,merge_to_canonical,8546.0
101905,parental leave,1,4,,,,delete,
101906,paid parental leave,1,4,,,,delete,
10191,Long Island Rail Road,100,131,Transportation,keyword_match,medium,merge_to_canonical,7656.0
101911,World Trade Center Health Program,1,1,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10192,Veterans Affairs,25,78,Veterans,keyword_match,medium,merge_to_canonical,7691.0
10193,Vets Connect Bill,1,2,,,,delete,
101935,State of the City address,1,1,,,,delete,
101936,small businesses,2,4,Small Business,keyword_match,medium,merge_to_canonical,7561.0
101937,school upgrades,1,4,Education,keyword_match,medium,merge_to_canonical,7001.0
101938,visually impaired,1,0,,,,delete,
101939,blind,0,1,,,,delete,
10194,Benefits,13,74,,,,delete,
101940,visually impaired,1,4,,,,delete,
101941,blind,1,3,,,,delete,
10195,IDAs,9,9,,,,delete,
10196,envirothon,1,1,,,,delete,
10197,bedford central school district,1,2,Education,keyword_match,medium,merge_to_canonical,7001.0
10198,Older New Yorkers Day,4,7,,,,delete,
10199,State Championship,4,1,,,,delete,
10200,Arts Education,24,161,Education,keyword_match,medium,merge_to_canonical,7001.0
10201,Crossing Guards,3,3,,,,delete,
102015,rescue ny,4,9,,,,delete,
102016,State Disaster Emergencies,4,6,,,,delete,
102017,Caroline’s Law,2,3,,,,delete,
102018,Black Business Expo,1,5,,,,delete,
10202,Canalside,1,5,,,,delete,
10203,clergy,13,25,,,,delete,
102033,Legislative Swearing-in,1,2,,,,delete,
10204,non-profit,11,47,,,,delete,
10205,my brother vinny,2,0,,,,delete,
10206,Women's March,1,8,,,,delete,
10207,Organizing,3,11,,,,delete,
10208,Activism,2,63,,,,delete,
10209,Cashless Tolling,22,69,,,,delete,
10210,New York State Thruway Authority,11,27,,,,delete,
10211,Economic Developoment,4,23,,,,delete,
10212,Faith-Based Institutions,7,20,,,,delete,
10213,Black History,39,80,,,,delete,
10214,U.S. Attorney General,1,5,,,,delete,
10215,Jeff Sessions,1,7,,,,delete,
10216,War On Drugs,5,37,Opioid & Substance Use,keyword_match,medium,merge_to_canonical,
10217,National Puerto Rican Day Parade,6,5,,,,delete,
10218,Goya Foods,1,3,,,,delete,
10219,Gran Parada Nacional Puertorriqueña,3,1,,,,delete,
10220,Goya,1,2,,,,delete,
10221,X-Lite,1,0,,,,delete,
10222,Guardrail Systems from Roads Across New York State,1,2,Transportation,keyword_match,medium,merge_to_canonical,7656.0
102229,Clifton Park,8,1,,,,delete,
102238,Statewide Health Care Facility Transformation Program; Health care,1,14,Health Care,semicolon_first_term_keyword,medium,merge_to_canonical,7166.0
102239,LGBTQ+ Equality,7,34,LGBTQ+ Rights,keyword_match,medium,merge_to_canonical,
10225,Workers' Compensation Reform,6,38,,,,delete,
10226,2017 NYS Senate Veterans' Hall of Fame,0,20,Veterans,keyword_match,medium,merge_to_canonical,7691.0
10227,Equal Rights,13,129,,,,delete,
10228,LGBT Rights,24,232,LGBTQ+ Rights,keyword_match,medium,merge_to_canonical,
10229,Rights for the Disabled,3,46,,,,delete,
10230,K-9,2,10,,,,delete,
10231,Remembrance,3,2,,,,delete,
102315,tax increases,2,30,Taxes,keyword_match,medium,merge_to_canonical,7626.0
102316,New York State Senate Liberty Medal; Veterans; World War II,2,5,,,,delete,
10232,In Memoriam,14,10,,,,delete,
102321,Asian Americans,2,4,,,,delete,
102322,Elmhurst,7,2,,,,delete,
102323,Installation,1,5,,,,delete,
102328,Environmental Roundtable,1,19,Environment,keyword_match,medium,merge_to_canonical,7036.0
10233,Gambling,29,48,Gaming,keyword_match,medium,merge_to_canonical,7111.0
10234,Task Force,4,9,,,,delete,
102342,Official Swearing In,2,4,,,,delete,
10235,Lottery,2,14,,,,delete,
10236,paint recycling,6,13,Environment,keyword_match,medium,merge_to_canonical,7036.0
10237,Property Tax Relief,54,386,Taxes,keyword_match,medium,merge_to_canonical,7626.0
10238,Lake Ontario,19,46,,,,delete,
10239,Combating Heroin and Opioid Addiction; Shed the Meds,18,70,Opioid & Substance Use,semicolon_first_term_seed,high,merge_to_canonical,
10240,Fintech,2,5,,,,delete,
10241,financial services,4,19,Finance,keyword_match,medium,merge_to_canonical,7081.0
10242,Healthy Teens Act,1,11,,,,delete,
10243,Sex Education,1,38,Education,keyword_match,medium,merge_to_canonical,7001.0
10244,Teenagers,6,32,,,,delete,
10245,Custom Military License Plates,2,1,Transportation,keyword_match,medium,merge_to_canonical,7656.0
102452,UUP,1,0,,,,delete,
102455,clothing donation,5,16,,,,delete,
102456,Governor's Housing Proposal,1,34,Housing,keyword_match,medium,merge_to_canonical,7201.0
10246,Service corps,2,2,,,,delete,
102465,STOP Governor's Housing Proposal,2,44,Housing,keyword_match,medium,merge_to_canonical,7201.0
10247,AmeriCorps,2,15,,,,delete,
102478,MTA Budget,1,17,Budget,keyword_match,medium,merge_to_canonical,6786.0
10248,Heroin & Opioid Addiction Task Force,47,209,Opioid & Substance Use,keyword_match,medium,merge_to_canonical,
10249,Indigent Care,1,6,,,,delete,
10250,Family Planning,2,14,,,,delete,
10251,Equal Protection,2,32,,,,delete,
102519,packaging reduction,10,17,,,,delete,
10252,Protections for the Disabled,3,37,,,,delete,
10253,texting while driving,3,13,,,,delete,
10254,driver safety,14,28,,,,delete,
10255,Vets Connect,1,2,,,,delete,
10256,Superfund Cleanup,4,9,,,,delete,
10257,Gowanus Canal,2,1,,,,delete,
10258,Praole Reform,1,9,,,,delete,
10259,superfund,1,6,,,,delete,
10260,Ticket Sales,8,11,,,,delete,
10261,Women's Access to Healthcare,18,138,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10262,School Lunch Shaming,2,19,Education,keyword_match,medium,merge_to_canonical,7001.0
10263,Hunger,11,96,Nutrition,keyword_match,medium,merge_to_canonical,7411.0
10264,student Government,4,10,Education,keyword_match,medium,merge_to_canonical,7001.0
10265,Transparency and Public Accountability,27,140,Ethics,keyword_match,medium,merge_to_canonical,7051.0
102658,End Predatory Court Fees Act,1,3,,,,delete,
10266,Parental Rights,12,68,,,,delete,
10267,New York State Board of Regents,14,53,,,,delete,
102675,fair and timely parole,2,4,Criminal Justice Reform,keyword_match,medium,merge_to_canonical,8546.0
10268,Parental Engagement,6,15,,,,delete,
102681,NYS Veterans Cemetery,1,4,Veterans,keyword_match,medium,merge_to_canonical,7691.0
10269,Government Transparency,33,212,Ethics,keyword_match,medium,merge_to_canonical,7051.0
10270,Civil Liberties,6,59,,,,delete,
10271,employee-owned businesses,1,4,,,,delete,
102710,Free Buses,8,17,,,,delete,
102711,Freeze Fares,3,6,,,,delete,
102718,ADA Accessibility,6,17,Disability Rights,keyword_match,medium,merge_to_canonical,75029.0
102719,Elevators,2,1,,,,delete,
10272,report,2,2,,,,delete,
102727,MTA Tax Hike,1,1,Taxes,keyword_match,medium,merge_to_canonical,7626.0
10274,Herion,14,25,,,,delete,
102740,Early Detection,4,2,,,,delete,
102741,Dolma Naadhun,3,0,,,,delete,
102742,Traffic Signals,1,1,,,,delete,
10275,housin,1,5,,,,delete,
10276,Single Payer Bill,5,77,,,,delete,
10277,California State Senate,1,1,,,,delete,
10278,Children’s Christian Parade,1,3,Children,keyword_match,medium,merge_to_canonical,6816.0
10279,Health Fair,13,27,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10280,Community Helath,1,5,,,,delete,
10281,la Parada el Niño Cristiano,1,0,,,,delete,
10282,Made in America,6,29,,,,delete,
10283,Administrative Procedure Act,1,17,,,,delete,
10284,Therapeutic Community,2,9,,,,delete,
10285,100th Anniversary of Women's Suffrage,19,91,,,,delete,
10286,calling cards,1,1,,,,delete,
10287,quality calls,1,0,,,,delete,
102874,Putnam Arts Council,1,0,Arts & Culture,keyword_match,medium,merge_to_canonical,80871.0
10288,Inmigrants,12,29,,,,delete,
102880,Historic Theaters,2,8,,,,delete,
10289,speedy trial crisis,1,4,,,,delete,
10290,Internship Opportunities,10,24,,,,delete,
102906,confronting anti-semitism,4,4,Hate Crimes,keyword_match,medium,merge_to_canonical,9619.0
102907,working group,1,1,,,,delete,
102909,Antisemitism;,4,9,Hate Crimes,semicolon_first_term_seed,high,merge_to_canonical,9619.0
10291,SoHo retail,1,0,,,,delete,
10292,462 Broadway,1,8,,,,delete,
10293,community board 2,2,0,,,,delete,
102935,Women’s Health,1,7,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10294,SoHo,1,0,,,,delete,
10295,oversize retail,1,0,,,,delete,
10296,Topical Oxygen Wound Therapy,1,0,,,,delete,
10297,Solar energy,17,140,Renewable Energy,keyword_match,medium,merge_to_canonical,7511.0
10298,Apprenticeships,9,50,,,,delete,
102981,dyslexia,5,7,,,,delete,
102982,Job Fair Employment,2,4,Jobs & Employment,keyword_match,medium,merge_to_canonical,7261.0
102983,locked doors,1,2,,,,delete,
102987,grand opening,3,0,,,,delete,
102988,SUNY Tuition Increase,1,3,Higher Education,keyword_match,medium,merge_to_canonical,7176.0
10299,New York Health Act,21,279,Health Care,keyword_match,medium,merge_to_canonical,7166.0
102991,MTA Payroll Tax Increase,7,3,Taxes,keyword_match,medium,merge_to_canonical,7626.0
10300,Healthcare For all,4,159,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10301,Child Protection,41,163,Children,keyword_match,medium,merge_to_canonical,6816.0
10302,Southern State Parkway,6,7,,,,delete,
10303,Detective Steven McDonald,7,2,,,,delete,
10304,tickets,1,3,,,,delete,
10305,grammys,1,1,,,,delete,
10306,CTE Education,6,38,Education,keyword_match,medium,merge_to_canonical,7001.0
10307,Parole,19,76,Criminal Justice Reform,keyword_match,medium,merge_to_canonical,8546.0
103070,Senator Kristen Gonzalez,14,6,,,,delete,
103071,Senate District 59,7,2,,,,delete,
103072,Alcoholism and Substance Use Disorders,13,23,Opioid & Substance Use,keyword_match,medium,merge_to_canonical,
10308,Food Security,35,144,Nutrition,keyword_match,medium,merge_to_canonical,7411.0
10309,Medical,10,114,,,,delete,
10310,Public Education,64,531,Education,keyword_match,medium,merge_to_canonical,7001.0
10311,Environmental Protections,15,150,Environment,keyword_match,medium,merge_to_canonical,7036.0
10313,Awarded Liberty Medals,14,5,,,,delete,
10314,NYC Mayoral Elections,1,16,Elections,keyword_match,medium,merge_to_canonical,7011.0
10315,Election Results,5,30,Elections,keyword_match,medium,merge_to_canonical,7011.0
103150,CCIA,2,4,,,,delete,
10316,Puerto Rico Elections,1,3,Elections,keyword_match,medium,merge_to_canonical,7011.0
10317,Puerto Rico Election,1,1,Elections,keyword_match,medium,merge_to_canonical,7011.0
103172,Child Care Crisis,5,12,Child Care,keyword_match,medium,merge_to_canonical,9530.0
103173,Unemployment Insurance Assessment Surcharg,0,0,Jobs & Employment,keyword_match,medium,merge_to_canonical,7261.0
103174,Unemployment Insurance Assessment Surcharge,2,2,Jobs & Employment,keyword_match,medium,merge_to_canonical,7261.0
10318,NYC Mayoral Election,1,14,Elections,keyword_match,medium,merge_to_canonical,7011.0
103180,Filipino Community,1,3,,,,delete,
103181,Cecille Martinez Lai,1,2,,,,delete,
10319,contribution limits,1,5,,,,delete,
10320,Rural public transportation,4,19,Transportation,keyword_match,medium,merge_to_canonical,7656.0
103205,northern border,3,4,,,,delete,
10321,Senate Task Force on Heroin and Opioid Addiction,16,69,Opioid & Substance Use,keyword_match,medium,merge_to_canonical,
10322,Peer Engagement,2,1,,,,delete,
10323,Blood Testing,2,3,,,,delete,
10324,Skin Prick Testing,2,3,,,,delete,
10325,Lease Renewal Guidelines,1,7,,,,delete,
10326,Products,1,1,,,,delete,
10327,Medicaid Fraud,1,13,Medicaid,keyword_match,medium,merge_to_canonical,7331.0
10328,Organ donor,3,20,,,,delete,
10329,donate life registry,2,5,,,,delete,
10330,School Safety,100,535,Education,keyword_match,medium,merge_to_canonical,7001.0
10331,S6642,1,1,,,,delete,
10332,Energy Efficiency,7,61,Energy,keyword_match,medium,merge_to_canonical,7026.0
10333,Living Wage,5,43,,,,delete,
10334,Father's Day,6,12,,,,delete,
10335,Racial and Ethnic Discrimination,18,179,Civil Rights,keyword_match,medium,merge_to_canonical,6831.0
10336,bus service,6,20,,,,delete,
103364,bail laws,1,14,Criminal Justice Reform,keyword_match,medium,merge_to_canonical,8546.0
10337,south village,1,0,,,,delete,
10338,m1,1,0,,,,delete,
10339,Discriminación racial y étnic,1,6,,,,delete,
103399,Community Board Member,1,2,,,,delete,
10340,S1355b,2,0,,,,delete,
103400,Haber,1,1,,,,delete,
103401,natural gas ban,7,35,Energy,keyword_match,medium,merge_to_canonical,7026.0
10341,VA Hudson Valley Health Care System at Montrose,1,2,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10342,montrose,3,2,,,,delete,
10343,montrose va,1,1,,,,delete,
103437,local highway funds,2,3,Transportation,keyword_match,medium,merge_to_canonical,7656.0
10344,transgender,7,91,LGBTQ+ Rights,keyword_match,medium,merge_to_canonical,
103447,Ski; Sales Tax,1,4,,,,delete,
103448,Tenants Rights,3,14,Housing,keyword_match,medium,merge_to_canonical,7201.0
103449,Repairs,1,3,,,,delete,
10345,Grand Island Bridge Tolls,2,1,,,,delete,
103451,2023-A5269,1,10,,,,delete,
103452,2023-A5270,1,8,,,,delete,
103453,Waterford,2,1,,,,delete,
103454,Halfmoon,1,3,,,,delete,
10346,Heroin & Opioid Task Force,11,77,Opioid & Substance Use,keyword_match,medium,merge_to_canonical,
10347,Committee on Energy and Telecommunications,4,48,Energy,keyword_match,medium,merge_to_canonical,7026.0
10348,Snowmobiles,7,12,,,,delete,
10349,Highway Safety,13,22,Transportation,keyword_match,medium,merge_to_canonical,7656.0
10350,Property Rights,3,24,,,,delete,
10351,LAWMAKERS URGE GOVERNOR TO ACT QUICKLY TO SIGN BILL PREVENTING SEX OFFENDERS FROM DRIVING FOR UBER AND LYFT,1,19,Criminal Justice Reform,keyword_match,medium,merge_to_canonical,8546.0
103518,Recycling Safe Disposal,1,24,Environment,keyword_match,medium,merge_to_canonical,7036.0
10352,E-Cigarette,12,78,,,,delete,
10353,Local Representation,9,67,,,,delete,
10354,Mental Health Facilities,4,81,Health Care,keyword_match,medium,merge_to_canonical,7166.0
10355,Tax Incentives,7,26,Taxes,keyword_match,medium,merge_to_canonical,7626.0
103556,unfunded state mandates; Medicaid,1,7,,,,delete,
103557,MTA Fiscal Crisis,1,1,MTA,keyword_match,medium,merge_to_canonical,9222.0
10356,Buy American,5,30,,,,delete,
10357,Sick Leave,3,42,,,,delete,
103578,War Dogs,1,6,Animal Welfare,keyword_match,medium,merge_to_canonical,9462.0
103579,Herkimer,1,1,,,,delete,
10358,tenant protection,20,148,,,,delete,
10359,human resource administration,1,12,,,,delete,
10360,housing court,10,74,Housing,keyword_match,medium,merge_to_canonical,7201.0
