tid,name,usage_count,follower_count,canonical_term,match_type,confidence,final_disposition,canonical_tid
81055,Big Brothers,1,0,,,,delete,
81056,Big Sisters,1,0,,,,delete,
81057,Conflict of Interest,1,3,,,,delete,
81058,Lactation Counseling,1,1,,,,delete,
81059,Westbury,7,1,,,,delete,
8106,Legislative Update,12,265,,,,delete,
81060,Real Property,3,28,,,,delete,
81061,Bike Trails,1,8,,,,delete,
81062,Multi-use Trails,1,2,,,,delete,
81063,Veteran Resources,1,10,,,,delete,
81064,Housing Affordability,7,61,Affordability,keyword_match,medium,merge_to_canonical,9076.0
81065,Name Change,1,1,,,,delete,
81066,Library,8,19,Libraries,keyword_match,medium,merge_to_canonical,8131.0
81067,Librarians,7,7,Libraries,keyword_match,medium,merge_to_canonical,8131.0
81068,Public Library,3,8,Libraries,keyword_match,medium,merge_to_canonical,8131.0
81069,School Library,3,6,Education,keyword_match,medium,merge_to_canonical,7001.0
81070,Veterans Information,1,3,Veterans,keyword_match,medium,merge_to_canonical,7691.0
81071,Hunting Licenses,4,21,,,,delete,
81072,Fishing Licenses,2,9,,,,delete,
81073,License Suspension,1,3,,,,delete,
81074,Domestic Violence Survivor,2,16,Domestic Violence,keyword_match,medium,merge_to_canonical,6971.0
81075,Statute of Limitations,1,3,,,,delete,
81077,Survivor Support,2,6,,,,delete,
81081,Nassau,8,11,,,,delete,
81082,Fines,3,17,,,,delete,
81083,Civil Procedure,1,8,,,,delete,
81084,Business Awards,6,9,,,,delete,
81085,Business Accountability,3,5,Ethics,keyword_match,medium,merge_to_canonical,7051.0
81086,Clawback,3,5,,,,delete,
81087,Recoupment,1,1,,,,delete,
81088,Local Hire,4,1,,,,delete,
81089,Tax Incentive,7,17,Taxes,keyword_match,medium,merge_to_canonical,7626.0
81090,Business Responsibility,1,1,,,,delete,
81091,Registration,1,1,,,,delete,
81092,Motor Vehicle,2,6,,,,delete,
81093,Gas Station,3,2,,,,delete,
81094,bond act,4,8,,,,delete,
81095,test and trace,1,0,,,,delete,
81096,International students,1,0,Education,keyword_match,medium,merge_to_canonical,7001.0
81097,WPA,1,0,,,,delete,
81098,Public Works,3,7,,,,delete,
81099,multimillionaire tax,1,5,Taxes,keyword_match,medium,merge_to_canonical,7626.0
81109,housing vouchers,5,29,Housing,keyword_match,medium,merge_to_canonical,7201.0
8111,Regional Economic Development Council,10,55,Economic Development,keyword_match,medium,merge_to_canonical,6996.0
81110,Community Lifelines,1,1,,,,delete,
81111,volunteer,5,14,,,,delete,
81112,Coronavirus Pandemic; COVID-19; Nursing homes,58,152,COVID-19 Pandemic,semicolon_first_term_keyword,medium,merge_to_canonical,78756.0
81114,Barryville Farmers' Market,1,0,Agriculture,keyword_match,medium,merge_to_canonical,6716.0
81120,public health COVID-19,2,9,Health Care,keyword_match,medium,merge_to_canonical,7166.0
81122,Community Clean Up,12,14,,,,delete,
81124,Budget Justice,4,11,Budget,keyword_match,medium,merge_to_canonical,6786.0
81125,Billionaires Tax,8,26,Taxes,keyword_match,medium,merge_to_canonical,7626.0
81128,Holding Child Abusers Accountable,0,2,Children,keyword_match,medium,merge_to_canonical,6816.0
81129,Child Abuse Prevention,9,38,Children,keyword_match,medium,merge_to_canonical,6816.0
81130,Professional Fire Fighters,1,2,,,,delete,
81131,Tax the Rich,18,128,Taxes,keyword_match,medium,merge_to_canonical,7626.0
81132,Tax Fairness,3,12,Taxes,keyword_match,medium,merge_to_canonical,7626.0
81133,Multi-Use Roads,1,2,Transportation,keyword_match,medium,merge_to_canonical,7656.0
81134,Share the Road,1,2,,,,delete,
81135,9/11 Survivors,8,13,Public Safety,keyword_match,medium,merge_to_canonical,8316.0
81136,Hunting and Fishing Licenses,2,12,Agriculture,keyword_match,medium,merge_to_canonical,6716.0
81137,Medics,1,2,,,,delete,
81138,Driver's Education,1,2,Education,keyword_match,medium,merge_to_canonical,7001.0
81139,Plandome Manor,1,0,,,,delete,
81140,Real Property Tax,3,41,Taxes,keyword_match,medium,merge_to_canonical,7626.0
81141,Delinquent Taxes,1,10,Taxes,keyword_match,medium,merge_to_canonical,7626.0
81142,Business Support,6,13,,,,delete,
81143,Business Streamlining,1,1,,,,delete,
