bill_title,global_issues
2025-S1741,"Animal Welfare"
2025-S1753,"Animal Welfare; Domestic Violence"
2025-S1754,Seniors
2025-S1760,"Education; Children"
2025-S1776,"Elections; Voting Rights"
2025-S1780,"Mental Health; Seniors"
2025-S1784,"Animal Welfare"
2025-S1795,"Health Care"
2025-S1823,"Renewable Energy; State Parks & Recreation"
2025-A1680,Environment
2025-S1847,"Utilities; Consumer Protection"
2025-A1690,Crime
2025-A1732,"Insurance; Consumer Protection"
2025-A1757,"Campaign Finance"
2025-A1765,"Disability Rights; State Parks & Recreation"
2025-A1794,Veterans
2025-A1799,"Consumer Protection; Finance"
2025-S1877,Environment
2025-S1880,"COVID-19 Pandemic; Emergency Management"
2025-A1852,Elections
2025-S1896,Utilities
2025-A1843,"Criminal Justice Reform"
2025-S1922,"Civil Rights; Housing; Veterans"
2025-S1950,"Civil Rights"
2025-S1966,Utilities
2025-S1970,"Reproductive Health; Children"
2025-A1978,Labor
2025-A2002,"Child Care; Taxes"
2025-A2041,Education
2025-A2030,"Libraries; Taxes"
2025-S2011,"Utilities; Consumer Protection"
2025-S2029,Ethics
2025-S2047,Ethics
2025-S2058,"Reproductive Health"
2025-S2064,"Technology Policy"
2025-S2066,Environment
2025-S2067,"Veterans; Higher Education; Jobs & Employment"
2025-S2104,"State Parks & Recreation"
2025-S2128,"Health Care; Consumer Protection"
2025-S2135,"Campaign Finance; Ethics"
2025-S2139,"Transportation; Public Safety"
2025-S2148,Crime
2025-S2153,"Consumer Protection; Telecommunications"
2025-S2152,"Data Privacy; Consumer Protection"
2025-S2163,Elections
2025-S2180,"Telecommunications; Technology Policy"
2025-S2176,Telecommunications
2025-A2086,Judiciary
2025-A2092,"Animal Welfare; Agriculture"
2025-S2185,"Technology Policy"
2025-S2193,Agriculture
2025-A2151,"Gaming; Opioid & Substance Use"
2025-A2157,"MTA; Data Privacy"
2025-A2214,"State Parks & Recreation"
2025-A2061,"Social Services"
2025-A2082,"Seniors; Housing; Taxes"
2025-S2220,"Seniors; Housing; Taxes"
2025-S2257,"Social Services"
2025-S2273,"Domestic Violence"
2025-S2275,Budget
2025-A2253,"Opioid & Substance Use"
2025-A2303,Labor
2025-A2292,"Opioid & Substance Use"
2025-A2300,"Opioid & Substance Use"
2025-A2317,"Agriculture; Taxes"
2025-A2301,"Small Business; Crime"
2025-A2376,"Higher Education; Hate Crimes"
2025-A2372,Taxes
2025-A2385,Education
2025-S2371,"Small Business"
2025-S2394,"Consumer Protection"
2025-S2407,Judiciary
2025-S2416,"Domestic Violence"
2025-S2423,Libraries
2025-S2432,"Reproductive Health; Consumer Protection; Technology Policy"
2025-S2433,Housing
2025-A2464,"First Responders"
2025-A2492,"Taxes; Families"
2025-A2503,"Economic Development"
2025-A2525,"Small Business"
2025-A2519,Ethics
2025-A2553,"Renewable Energy; Environment"
2025-A2569,"Energy; Climate Change"
2025-S2448,"Seniors; Health Care"
2025-S2487,"Technology Policy"
2025-A2606,Elections
2025-A2614,Utilities
2025-A2622,"Opioid & Substance Use"
2025-S2561,"Seniors; Taxes"
2025-S2572,"Civil Rights"
2025-S2582,Veterans
2025-S2594,"Education; COVID-19 Pandemic"
2025-S2604,"Civil Rights"
2025-S2593,Education
2025-S2615,"Gaming; Opioid & Substance Use"
2025-A2711,"Historical Preservation; Housing; Taxes"
2025-S2629,"Local Government"
2025-S2639,"Climate Change"
2025-S2659,"Local Government; First Responders"
2025-S2664,"Opioid & Substance Use"
2025-S120A,"Utilities; Consumer Protection"
2025-S3006,"Budget; Education; Housing"
2025-S2692,"Reproductive Health; Consumer Protection"
2025-S2716,"Developmental Disabilities"
2025-S2724,Energy
2025-S3026,"Animal Welfare"
2025-S3037,"Arts & Culture; Labor"
2025-S3038,"Clean Water"
2025-S3042,Transportation
2025-S3048,"Criminal Justice Reform; Children"
2025-S3057,"Opioid & Substance Use"
2025-S3059,"Consumer Protection"
2025-A3035,"Medicaid; Children"
2025-A3051,"Reproductive Health; Taxes"
2025-S3067,Education
2025-S3063,Elections
2025-S3079,"Economic Development; Jobs & Employment"
2025-S3084,"Disability Rights"
2025-S3098,"Technology Policy"
2025-A3119,"Libraries; Civil Rights"
2025-A3067,"Local Government"
2025-S3117,"Domestic Violence; Criminal Justice Reform"
2025-A3156,"Tenant Rights; Housing"
2025-A3129,"Opioid & Substance Use"
2025-S3129,"Agriculture; Labor"
2025-A3179,Crime
2025-A3195,Children
2025-S3155,"Reproductive Health"
2025-S3158,"Animal Welfare"
2025-S3190,Housing
2025-S3203,"Health Care; Consumer Protection"
2025-S3216,"Consumer Protection"
2025-A3225,"Consumer Protection; Finance"
2025-S3326,"Veterans; Health Care"
2025-S3332,"Finance; Consumer Protection"
2025-S3347,"Energy; Renewable Energy"
2025-S3353,"Renewable Energy; Taxes"
2025-A3265,"Technology Policy; Civil Rights"
2025-A3263,"Technology Policy"
2025-A3272,"MTA; Local Government"
2025-A3284,"Taxes; Housing"
2025-A3257,"Education; Taxes"
2025-A3321,"Insurance; Crime"
2025-A3322,"Health Care; Children"
2025-A3339,"Taxes; Local Government"
2025-A3326,Taxes
2025-A3356,"Technology Policy"
2025-A3368,"Libraries; Education"
2025-S3369,"Higher Education"
2025-S3373,Ethics
2025-A3400,Gaming
2025-A3410,"Developmental Disabilities"
2025-S3376,Budget
2025-A3459,"Finance; Consumer Protection"
2025-S3424,"Cannabis Policy; Local Government"
2025-S3427,Elections
2025-S3444,Children
2025-S3475,"Local Government"
2025-S3515,"Opioid & Substance Use"
2025-S3527,"First Responders; Taxes"
2025-S3532,"Taxes; Environment"
2025-S3546,Finance
2025-S3551,Energy
2025-A3526,"Health Care; Women's Health"
2025-A3530,"Developmental Disabilities"
2025-A3538,"Insurance; Health Care"
2025-A3548,"Developmental Disabilities"
2025-A3563,"Developmental Disabilities"
2025-S3580,"Ethics; Gaming"
2025-S3581,"Clean Water"
2025-S3597,Ethics
2025-S3614,"Taxes; Finance; Minority & Women-Owned Business"
2025-S3633,"Criminal Justice Reform"
2025-S3634,"Housing; Public Safety"
2025-A3605,"Seniors; Insurance"
2025-A3610,"Mental Health; Education"
2025-A3633,"Agriculture; Veterans"
2025-A3652,"Criminal Justice Reform"
2025-S3660,"Children; Social Services"
2025-S3665,"Agriculture; Taxes"
2025-S3688,Environment
2025-S3704,Labor
2025-S3756,"Economic Development"
2025-S3764,"Opioid & Substance Use"
2025-S3776,"Insurance; Consumer Protection"
2025-A3679,"Housing; Technology Policy"
2025-A3684,"Child Care"
2025-S3813,"Tenant Rights; Housing"
2025-S3843,"Reproductive Health"
2025-A3712,"Opioid & Substance Use"
2025-A3738,"Libraries; Education"
2025-A3741,Insurance
2025-A3760,"Economic Development; Small Business"
2025-A3761,"Cannabis Policy"
2025-A3797,"Opioid & Substance Use"
2025-A3826,Crime
2025-A3841,"Data Privacy"
2025-A3914,"Technology Policy; Labor"
2025-A3918,"Energy; Affordability"
2025-S3861,Seniors
2025-S3878,"Opioid & Substance Use"
2025-S3881,"Women's Health; Child Care"
2025-S3889,"Local Government"
2025-S3893,Housing
2025-S3905,Utilities
2025-S3921,"State Parks & Recreation"
2025-A3970,Children
2025-A3978,"Utilities; Consumer Protection"
2025-A3932,"Transportation; Technology Policy"
2025-A3936,"Opioid & Substance Use"
2025-A3983,Labor
2025-A4001,"First Responders"
2025-A4032,"Criminal Justice Reform"
2025-S3963,"Opioid & Substance Use"
2025-S3977,"Criminal Justice Reform"
2025-S3988,Children
2025-S4011,"Higher Education"
2025-S4013,Veterans
