bill_title,global_issues
2025-A4036A,"Labor; Arts & Culture"
2025-A7520,Veterans
2025-A7523,Housing
2025-S7073,"Renewable Energy; Taxes"
2025-S7096,"Consumer Protection"
2025-S7108,"Women's Health; Health Care"
2025-S7118,"Civil Service & Pensions"
2025-A7559,"Data Privacy; Consumer Protection"
2025-A7604,"Developmental Disabilities"
2025-A7607,Agriculture
2025-A7617,"Health Care"
2025-S7125,Ethics
2025-S6412A,"Energy; Affordability"
2025-S7188,"Elections; Voting Rights"
2025-A7663,"Small Business; Economic Development; Higher Education"
2025-A7668,Crime
2025-A7675,"Local Government"
2025-A7679,Housing
2025-A7682,"Housing; Consumer Protection"
2025-S7226,Utilities
2025-S7253,"Education; Immigration"
2025-S7268,"Civil Service & Pensions; Ethics"
2025-S7165A,"Utilities; Consumer Protection"
2025-A7737,"Arts & Culture"
2025-A7757,"Tenant Rights; Housing"
2025-A7754,"Technology Policy"
2025-S4574B,"Clean Water"
2025-S7292,Elections
2025-S7296,Crime
2025-S7304,"Civil Rights"
2025-S952B,"Tenant Rights; Housing"
2025-A7835,Elections
2025-S7394,Agriculture
2025-S7429,Energy
2025-S7453,Labor
2025-A7989,"Civil Service & Pensions; Education"
2025-A7990,"Clean Water; Infrastructure"
2025-A7991,"Small Business; Taxes"
2025-A7992,"Clean Water"
2025-S7377A,"Mental Health"
2025-S7473,"Social Services"
2025-S7484,"Developmental Disabilities"
2025-S7522,"Education; Libraries"
2025-A8012,"Civil Service & Pensions; First Responders"
2025-S7541,"Housing; Consumer Protection"
2025-A382A,Gaming
2025-S7612,"Domestic Violence; Homelessness"
2025-S7657,"Criminal Justice Reform"
2025-S7661,"Civil Service & Pensions"
2025-A5253A,"Veterans; First Responders"
2025-S7676,Judiciary
2025-S7693,"Utilities; Consumer Protection"
2025-S7694,Judiciary
2025-S7704,Gaming
2025-A8126,Elections
2025-A6903A,Labor
2025-A8173,Crime
2025-A8188,"Immigration; Civil Rights"
2025-A8230,"Criminal Justice Reform"
2025-A8207,"Civil Service & Pensions"
2025-A8208,"Housing; Tenant Rights"
2025-A8252,"Clean Water; Local Government"
2025-S7792,"Disability Rights"
2025-A1563A,"Tenant Rights; Seniors; Disability Rights"
2025-S7838,"Cannabis Policy; Taxes"
2025-S7879,"Women's Health"
2025-S7883,"Campaign Finance"
2025-A8351,"Disability Rights; Developmental Disabilities"
2025-A8383,"Health Care; Insurance"
2025-A8391,Environment
2025-S7896,"Insurance; Technology Policy"
2025-S7899,"Renewable Energy; Agriculture"
2025-S7907,Taxes
2025-S7920,Children
2025-A6937A,Gaming
2025-S7925,"Housing; Taxes"
2025-S634B,"Health Care"
2025-S7935,Gaming
2025-S7940,"Local Government"
2025-S7949,"Child Care"
2025-A3459A,"Finance; Consumer Protection"
2025-S7960,"Immigration; Civil Rights"
2025-S7993,"Labor; Libraries"
2025-S8000,"Climate Change; Environment"
2025-S8007,"Health Care"
2025-S8019,Utilities
2025-S8035,"Animal Welfare; Domestic Violence"
2025-S8042,"Utilities; Energy"
2025-S8045,"Domestic Violence"
2025-S8052,"Civil Service & Pensions; Disability Rights"
2025-S8066,Insurance
2025-S8090,"Civil Service & Pensions"
2025-S8101,Veterans
2025-S8115,"Finance; Technology Policy"
2025-S8116,"Libraries; Education"
2025-S8111,"Civil Service & Pensions; First Responders; Families"
2025-A8452,"State Parks & Recreation"
2025-A7338A,Gaming
2025-S1180B,Environment
2025-A6327A,"Energy; Climate Change"
2025-S2047A,Ethics
2025-A8422A,"Arts & Culture"
2025-A8511,Taxes
2025-A8523,"Elections; Campaign Finance"
2025-A8543,Energy
2025-S4917A,"Insurance; Women's Health"
2025-S7314C,"Civil Service & Pensions"
2025-S694A,"Public Safety"
2025-S8071A,Judiciary
2025-S488A,"Consumer Protection; Health Care"
2025-A8624,"Data Privacy; Technology Policy"
2025-A4716B,Environment
2025-A6935A,"Medicaid; Health Care"
2025-A6824A,"Health Care"
2025-S8108A,"Economic Development"
2025-A3119A,"Libraries; Civil Rights"
2025-A8659,"Consumer Protection"
2025-S8225,"Consumer Protection; Social Services"
2025-S8236,Judiciary
2025-A8667,Gaming
2025-S8238,Gaming
2025-S8242,"State Parks & Recreation"
2025-S8260,Elections
2025-S5989A,"Libraries; Children"
2025-S8277,Seniors
2025-S7535A,Children
2025-S7328A,Utilities
2025-S7497A,"Local Government"
2025-S8290,"Developmental Disabilities; Children"
2025-S8301,"Economic Development; Community Development"
2025-A8729,"Data Privacy; Consumer Protection"
2025-A8743,Children
2025-A8745,"Criminal Justice Reform"
2025-A7735A,"Taxes; Veterans"
2025-A8781,"Medicaid; Health Care"
2025-A975A,Transportation
2025-S4329A,"Economic Development"
2025-S3073A,"Animal Welfare"
2025-S4603A,"Finance; Consumer Protection"
2025-S122A,"Environment; Children"
2025-S1067A,"State Parks & Recreation"
2025-S1833A,"Clean Water"
2025-S561A,"Tenant Rights; Seniors; Disability Rights"
2025-S1378A,"Arts & Culture"
2025-S8115B,"Finance; Technology Policy"
2025-A6473A,"Arts & Culture"
2025-S704A,"Consumer Protection"
2025-S5990B,Labor
2025-S5939B,"Health Care"
2025-A6903B,"Libraries; Labor"
2025-S7993A,Labor
2025-S1012A,Utilities
2025-S363A,"Consumer Protection; Data Privacy"
2025-S1100A,"Libraries; Civil Rights"
2025-A3789A,"Health Care; Insurance"
2025-S8407,Medicaid
2025-A8833,"Technology Policy"
2025-A3119B,"Libraries; Civil Rights"
2025-A8851,"Consumer Protection"
2025-A8861,"Immigration; Social Services"
2025-S7923A,Energy
2025-S54A,"Domestic Violence"
2025-S3315A,"Energy; Climate Change"
2025-S8412,Environment
2025-A8621A,"State Parks & Recreation; Local Government"
2025-A8884,"Technology Policy; Civil Rights"
2025-A4716C,Environment
2025-S904B,"Utilities; Consumer Protection"
2025-A6270B,"Renewable Energy; Energy"
2025-S8447,Utilities
2025-A8928,Gaming
2025-A8925,Gaming
2025-A8955,"Opioid & Substance Use"
2025-S8461,"Climate Change; Affordability"
2025-S6652A,"Consumer Protection; Jobs & Employment"
2025-S7987A,"Insurance; Health Care"
2025-A8982,"Developmental Disabilities"
2025-A8967,Veterans
2025-A9002,"Medicaid; Mental Health; Opioid & Substance Use"
2025-A9003,Energy
2025-A9004,"Small Business"
2025-S8479,"Consumer Protection"
2025-S8483,"Consumer Protection"
2025-A9015,"Housing; Insurance"
2025-A9061,"Crime; Domestic Violence"
2025-A9072,"Criminal Justice Reform"
2025-A9085,Education
2025-A9108,"Animal Welfare"
2025-A9123,"Animal Welfare"
2025-S8518,"Energy; Taxes; Affordability"
2025-S8520,"Opioid & Substance Use"
2025-S8524,"Data Privacy"
2025-A9149,"Renewable Energy; Taxes; Local Government"
2025-A9165,"Technology Policy"
2025-A9171,"Housing; Tenant Rights; Civil Rights"
2025-S8544,"Reproductive Health"
2025-S8547,"Energy; Transportation"
2025-A9219,"Technology Policy"
2025-S8563,"Consumer Protection; Affordability"
2025-A9246,Education
2025-S7871A,"Consumer Protection"
2025-S8578,"Local Government"
2025-A7962A,"Gaming; Consumer Protection"
2025-A9258,"Veterans; Health Care; Insurance"
2025-S8604,Elections
2025-A9317,"Technology Policy"
2025-A9307,"Consumer Protection"
2025-S382A,"Developmental Disabilities"
2025-A3384A,"Gun Control"
2025-S1513A,Veterans
2025-S8627,Gaming
2025-A9358,"Social Services; Nutrition"
2025-A9389,"Mental Health; Children"
2025-A9406,"Opioid & Substance Use"
2025-A9400,"Developmental Disabilities"
2025-A9409,"Opioid & Substance Use; Mental Health"
2025-A9425,Energy
2025-S8628,"Domestic Violence"
2025-S880B,"Housing; Taxes"
2025-A9438,"Utilities; Consumer Protection"
2025-S8661,Ethics
2025-S8662,"Housing; Local Government"
2025-S8702,"Consumer Protection; Environment"
2025-S8703,"Clean Water; Infrastructure"
2025-S8705,"Reproductive Health"
2025-S8710,"Utilities; Small Business"
2025-S8712,"Renewable Energy"
2025-S8730,"Local Government"
2025-A3845A,"Mental Health; Veterans; First Responders"
2025-A9169A,"Health Care; Seniors"
2025-A6388A,"Emergency Management; Animal Welfare; Disability Rights"
2025-S4609A,"Children; Data Privacy; Technology Policy"
2025-S8646A,Elections
2025-S4071A,"Clean Water"
2025-S8850,"Data Privacy; Technology Policy; Consumer Protection"
2025-S8257A,"Reproductive Health; Health Care"
2025-S8853,"Health Care"
2025-S8860,"Reproductive Health; Judiciary"
2025-S1633A,"Reproductive Health; Data Privacy; Health Care"
2025-S8866,"Reproductive Health; LGBTQ+ Rights"
2025-S8869,"Reproductive Health; Health Care"
2025-S4030A,Environment
2025-S1457B,"Housing; Taxes; Seniors"
2025-S587A,Taxes
2025-S1574A,Environment
2025-S8892,"Labor; Families"
2025-S8901,Finance
2025-S8908,"Utilities; Consumer Protection"
2025-A9526,Children
2025-A9542,Gaming
2025-A9543,"Technology Policy"
2025-A9557,"Gaming; Consumer Protection"
2025-S8656A,"Reproductive Health; Data Privacy"
2025-A5344A,"Seniors; Tenant Rights; Taxes"
2025-S5553C,"Utilities; Consumer Protection"
2025-A9571,Labor
2025-A792A,"Housing; Seniors; Disability Rights"
2025-A4280B,Gaming
2025-A9573,Finance
2025-A9574,Finance
2025-A9575,Gaming
2025-A9579,"Gaming; Consumer Protection"
2025-A9580,Gaming
2025-A9585,"Small Business; Child Care"
2025-A9586,Crime
2025-A9591,Veterans
2025-A9594,"Small Business"
2025-A9602,Veterans
2025-A9654,"Technology Policy; Civil Rights"
2025-A9668,"Consumer Protection"
2025-A9670,"State Parks & Recreation"
2025-A9659,"Insurance; Mental Health"
2025-S9047,Gaming
2025-S9048,Gaming
2025-S9074,Environment
2025-A5532A,"Libraries; Children"
2025-S8862A,"Agriculture; Taxes"
2025-A10036,"Developmental Disabilities"
2025-A10113,"Local Government"
2025-A9145A,"Disability Rights; Civil Rights"
2025-S7888B,"First Responders"
2025-S9099,Veterans
2025-S9103,"Gaming; Elections"
2025-S8399A,"State Parks & Recreation"
2025-S5340B,"Health Care"
2025-A7319A,"Health Care; Health Equity"
2025-S9119,"Energy; Utilities"
2025-A5916A,"Data Privacy"
2025-S9072A,"Environment; Climate Change"
2025-A2300A,"Opioid & Substance Use"
2025-S4436A,"Civil Service & Pensions"
2025-S9073A,"Environment; Consumer Protection"
2025-S5706A,"Health Care"
2025-S9144,"Data Centers"
2025-A8593A,"Civil Service & Pensions; Veterans"
2025-A3041A,"Mental Health; Education"
2025-S8174A,Insurance
2025-S3943A,Taxes
2025-A10172,"Civil Service & Pensions"
2025-A10180,MTA
2025-A10189,"Animal Welfare"
2025-A10195,"Developmental Disabilities; Jobs & Employment"
2025-A10205,Labor
2025-A10191,"Cannabis Policy"
2025-A10219,"Taxes; Seniors"
2025-A10229,"Housing; Tenant Rights"
2025-A10240,Gaming
2025-A10256,"Civil Service & Pensions"
2025-A10260,"Developmental Disabilities"
2025-A10252,"Developmental Disabilities; Taxes"
2025-S9195,Utilities
2025-S9196,"Health Care"
2025-S9207,"Animal Welfare"
2025-S3608A,"Civil Service & Pensions"
2025-S6570A,"Renewable Energy"
2025-S9230,"Women's Health; Insurance"
2025-S9243,"Children; Families; Social Services"
2025-A4547A,"Higher Education"
2025-S9262,"Civil Service & Pensions"
2025-A10268,Energy
2025-A10301,"Civil Service & Pensions"
2025-A10311,"Tenant Rights; Housing"
2025-A10321,"Renewable Energy; Environment"
2025-A7991A,"Small Business; Taxes"
2025-S7025B,"Health Care"
2025-S8334A,"Health Care"
2025-S469A,Education
2025-S3734B,"Utilities; Consumer Protection"
2025-S9296,Agriculture
2025-S156A,"Public Safety"
2025-S8062A,"Utilities; Consumer Protection"
2025-S9301,"State Parks & Recreation; First Responders"
2025-S9313,"Higher Education; Housing"
2025-S5296A,"Mental Health"
2025-S4584A,"Public Safety"
2025-A10363,"Social Services"
2025-S9339,Libraries
2025-S9340,"Telecommunications; Infrastructure"
2025-A10406,"Small Business; Energy; Utilities"
2025-S9346,Housing
2025-A325A,"Social Services; Medicaid; Immigration"
2025-A10240A,Gaming
2025-S6765A,Environment
2025-A10362A,Veterans
2025-S9371,"Jobs & Employment"
2025-S9369,"Minority & Women-Owned Business"
2025-A10464,Medicaid
2025-A10440,"Gaming; Children"
2025-A10449,"Housing; Affordability"
2025-A10484,"Higher Education"
2025-A10526,Gaming
2025-A10535,"Opioid & Substance Use"
2025-S9385,Gaming
2025-S9400,Transportation
2025-A6639A,"State Parks & Recreation"
2025-A10538,Gaming
2025-S9007B,"Budget; Health Care; Medicaid"
2025-A9251A,Gaming
2025-S9410,"Criminal Justice Reform"
2025-A5412A,"Women's Health; Health Equity"
2025-A8720B,"Civil Service & Pensions"
2025-S9421,Children
2025-S9436,Gaming
2025-S9448,"Developmental Disabilities; Medicaid"
2025-A10490A,"Mental Health"
2025-A10545,"Economic Development"
2025-A10544,Veterans
2025-A10567,"Energy; Renewable Energy"
2025-A10581,"Local Government"
2025-A10624,"Education; Emergency Management"
2025-A10630,"First Responders"
2025-A10638,Homelessness
2025-S9474,Utilities
2025-S8472A,"Health Care"
2025-A9307A,"Consumer Protection; Transportation"
2025-S4413A,"Consumer Protection; Data Privacy"
2025-S8598A,"Consumer Protection"
2025-S9518,"Small Business; Economic Development"
2025-S9524,Housing
2025-S4666A,"Civil Service & Pensions"
2025-A8739A,"Criminal Justice Reform"
2025-A10658,"LGBTQ+ Rights"
2025-S8512B,"Renewable Energy"
2025-S9536,"Agriculture; Higher Education"
2025-S8642A,"Local Government"
2025-A10676,"Animal Welfare"
2025-A10670,Taxes
2025-S9540,"Consumer Protection"
2025-S7792C,"Disability Rights"
2025-S5849A,"Consumer Protection"
2025-S5111A,"Energy; Environment"
2025-S9559,"Libraries; Education"
2025-S9385A,Gaming
2025-S3960A,"Civil Service & Pensions; First Responders"
2025-S1463A,Environment
2025-S9580,"Women's Health"
2025-A4877B,"Housing; Tenant Rights"
2025-S9600,Gaming
2025-A10728,"Housing; Finance"
2025-A10732,"Insurance; Child Care"
2025-A10734,"Disability Rights; Health Care"
2025-S2057B,"Consumer Protection; Environment"
2025-S9623,"Gun Control"
2025-S9634,"Reproductive Health"
2025-S9646,"Economic Development"
2025-S7879A,"Women's Health"
2025-S9665,Agriculture
2025-S9669,"Affordability; Civil Rights"
2025-S9662,"Women's Health; Health Care"
2025-S9676,"Taxes; Environment"
2025-S9690,Judiciary
2025-S9696,"Education; Housing"
2025-A8820B,"Cannabis Policy"
2025-S9732,"Housing; Libraries"
2025-S9745,"Mental Health; Telecommunications"
2025-S9793,Judiciary
2025-S9804,"Crime; Transportation"
2025-A10841,"Technology Policy; Children"
2025-S9815,"Reproductive Health; Insurance"
2025-S4470B,"Public Safety"
2025-S9825,"Ethics; Gaming"
2025-S9826,"Education; Children"
2025-A4877C,"Housing; Tenant Rights"
2025-S9845,"Economic Development"
2025-A10869,"Public Safety"
2025-A10899,Finance
2025-A10900,"Economic Development"
2025-A10904,"Small Business; Insurance; Health Care"
2025-A10911,"Data Privacy"
2025-A10913,"Consumer Protection"
2025-A10914,Transportation
2025-A10908,"Education; Developmental Disabilities"
2025-A10907,"Opioid & Substance Use"
2025-S9865,Transportation
2025-S9879,"Education; First Responders"
2025-S9908,"Tenant Rights"
2025-A10937,"State Parks & Recreation"
2025-A10971,"Health Care"
2025-A10992,"Housing; Homelessness"
2025-A10985,"Criminal Justice Reform"
2025-S9917,"Energy; Renewable Energy; Local Government"
2025-S7809A,Environment
2025-A11001,"Opioid & Substance Use"
2025-S9920,"Mental Health"
2025-S9921,"Campaign Finance; Elections"
2025-S9926,"Small Business; Minority & Women-Owned Business"
2025-S9268A,Environment
2025-A10440A,"Gaming; Children"
2025-S9936,"Tenant Rights; Judiciary"
2025-S5754B,"Civil Service & Pensions"
2025-S7879B,"Women's Health"
2025-A10386A,"Criminal Justice Reform"
2025-S6392A,"State Parks & Recreation; Environment"
2025-S10003,"Environment; Clean Water"
2025-S10025,"Technology Policy; Labor"
2025-A11089,"Civil Service & Pensions"
2025-A11103,"Veterans; Jobs & Employment"
2025-A11060,"Consumer Protection"
2025-A11073,Education
2025-A11123,"Small Business; Public Safety"
2025-S10056,"Higher Education"
2025-S10069,Gaming
2025-S10070,"Developmental Disabilities"
2025-S8204A,Children
2025-A9307B,"Consumer Protection; Transportation"
2025-A11161,"Elections; Voting Rights"
2025-S5058A,"Civil Service & Pensions"
2025-S10117,Taxes
2025-S10124,"Reproductive Health; Consumer Protection; Technology Policy"
2025-S10129,"Local Government"
2025-S10145,Libraries
2025-S3217B,Environment
2025-S10158,"Education; Transportation; Child Care"
2025-A11174,"Consumer Protection"
2025-A11177,"Housing; Libraries"
2025-A11210,"Taxes; Jobs & Employment; Disability Rights"
2025-A11229,Utilities
2025-A11227,Utilities
2025-S10182,"First Responders"
2025-A11279,"Civil Service & Pensions"
2025-S10201,"Mental Health; Developmental Disabilities; Civil Rights"
2025-S8483B,"Consumer Protection"
2025-S6399A,"Higher Education"
2025-S8616A,"Consumer Protection"
2025-S10259,"Gaming; Economic Development"
2025-S8483C,"Consumer Protection; Technology Policy; Data Privacy"
2025-S8094B,"Civil Service & Pensions"
2025-A11317,"Higher Education"
2025-S690B,"Reproductive Health"
2025-S10302,"Civil Service & Pensions"
2025-S10129A,"Local Government; Labor"
2025-A10999A,"Housing; Taxes"
2025-A11346,"Small Business"
2025-S10307,"Developmental Disabilities"
2025-S10308,"Animal Welfare; Agriculture"
2025-S10314,Housing
2025-S5178A,Transportation
2025-S7133A,"Renewable Energy; Energy; Utilities"
2025-S8583B,Insurance
2025-S4344A,"Developmental Disabilities"
2025-S574A,"Housing; Taxes"
2025-S82B,Education
2025-S3911B,Environment
2025-S8512C,"Renewable Energy"
2025-A11369,Environment
2025-S10361,"Civil Service & Pensions; First Responders"
2025-S10363,Immigration
2025-S10370,"First Responders; Jobs & Employment"
2025-S10373,"Technology Policy"
2025-S10383,"Mental Health; Criminal Justice Reform"
2025-S10410,Ethics
2025-S10411,Environment
2025-S10416,"Technology Policy; Data Privacy"
2025-S10421,"Opioid & Substance Use"
2025-S10429,"Education; Libraries"
2025-S10430,"Civil Service & Pensions"
2025-S4719B,"Insurance; Local Government"
2025-A10899A,Finance
2025-S10470,Gaming
2025-S10479,Gaming
2025-A11394,"Opioid & Substance Use; Criminal Justice Reform"
2025-S10483,Ethics
2025-S10496,"First Responders; State Parks & Recreation"
2025-A11432,Gaming
2025-A10899B,Finance
2025-S10507,"Housing; Local Government"
2025-S10515,"Technology Policy"
2025-A2617A,"Clean Water; Infrastructure"
2025-A3459B,"Consumer Protection; Finance"
2025-S4197A,"Ethics; Civil Rights"
2025-S9980A,"Utilities; Public Safety"
2025-S8903A,"Mental Health"
2025-A5709A,"Medicaid; Health Care"
2025-A10189A,"Animal Welfare"
2025-S10554,Libraries
2025-S8455B,"Gun Control"
2025-S10125A,"Energy; Infrastructure; Transportation"
2025-S10407A,"Civil Service & Pensions"
2025-S7651A,"Lyme & Tick-Borne Diseases; Labor"
2025-S10593,"Civil Rights"
2025-A11512,Transportation
2025-A11519,"Seniors; Social Services"
2025-S9088A,"Data Privacy; Consumer Protection"
2025-A11369A,Environment
2025-A10630A,"First Responders"
2025-A9307C,"Consumer Protection"
2025-A10899C,Finance
2025-A6650A,Insurance
2025-A10323A,Transportation
2025-A4877D,"Housing; Tenant Rights"
2025-A10988A,"Utilities; Energy"
2025-A7924B,"Economic Development"
2025-A8884A,"Technology Policy; Civil Rights"
2025-S3852C,"Environment; Children"
2025-S8712B,"Renewable Energy; Agriculture"
2025-A11545,Taxes
2025-S10554A,Libraries
2025-S10635,"Data Privacy; Tenant Rights"
2025-A3459C,"Consumer Protection; Finance"
2025-A7034B,Environment
2025-S7787A,"Gaming; Local Government"
2025-A11272B,"First Responders"
2025-A11573A,"Small Business"
2025-A8860A,Transportation
2025-A11582,Energy
2025-A11595,"Animal Welfare"
2025-A11606,"Cannabis Policy; Consumer Protection"
2025-S4202B,"Taxes; Higher Education"
2025-S7704A,"Ethics; Gaming"
2025-S10669,"Energy; Renewable Energy; Budget"
2025-A11644,"Opioid & Substance Use"
2025-A11657,"Developmental Disabilities"
2025-A11658,"Developmental Disabilities"
2025-A11659,Housing
2025-A11616,"Technology Policy"
2025-A11636,"Technology Policy"
2025-A11626,"Technology Policy"
